508	Degree	30	Matriculation	Korangi Public Secondary School	2	Years	2013-05-15	14-21-05-8099	A	\N	Comp-Science
519	Degree	35	HSSC	P.EC.H.S Govt College for Women	2	Years	2015-01-06	14-21-05-5448	82.9	\N	Pre-Engineering
523	Degree	35	HSSC	BISE Bannu	2	Years	2011-07-15	14-20-08-6681	B	\N	Pre-Engineering
524	Degree	30	SSC	Metropolis Academy	2	Years	2013-06-01	14-21-05-5448	89.6	\N	Science
525	Course	0	Professesional PLC Course	N.E.D Academy	15	Days	2019-07-01	14-21-05-5448	none	none	Electrical
518	Degree	30	SSC	BISE Bannu	2	Years	2008-12-20	14-20-08-6681	A1	\N	Science
530	Degree	30	Matriculation	Crescent Model Higher Secondary School Lahore	2	Years	2010-09-01	14-20-08-0303	1st	\N	Science
531	Degree	35	Intermediate	Punjab College of Science, Lahore	2	Years	2012-09-01	14-20-08-0303	1st	\N	Pre Engineering
532	Degree	60	BE Electrical	National University of Sciences and Technology	4	Years	2016-06-04	14-20-08-0303	1st	\N	Electrical & Electronics Engineering
535	Degree	70	MS Electrical Engineering	National University of Sciences and Technology (NUST)	2	Years	2021-09-01	14-20-08-0303	1st	\N	Control Engineering
547	Degree	35	Pre-Engineering	St.Lawrance Govt Girls Degree College	2	Years	2016-12-01	14-20-08-0440	82.09%	\N	\N
548	Degree	30	Biology	Metropolitan Academy	12	Years	2014-12-01	14-20-08-0440	87%	\N	\N
565	Degree	60	BE Mechatronics	SZABIST Karachi	4	Years	2018-07-31	14-20-08-2265	3.54	\N	Mechatronics
566	Degree	35	GCE A Level	Lyceum School Karachi	2	Years	2009-08-01	14-20-08-2265	5 As	\N	Engineering
445	Degree	70	MS Electrical Telecom Engineering	UET Peshawar	4	Years	2017-03-17	14-21-01-3089	3.38/4	\N	Telecommunication
564	Degree	70	MSc (Applied Physics)	Karachi University	2003	Years	2003-12-01	14-20-10-6921	First	\N	Electronics
543	Degree	70	MS Electrical Engineering	NUST PNEC	2	Years	2016-03-15	14-20-08-3623	3.9	\N	Communications
469	Degree	60	BE Electronics	NEDUET	4	Years	2019-08-30	14-21-02-0970	3.755	\N	Electronics
546	Degree	60	BE Electronics	NED University of engineering and technology	4	Years	2018-10-01	14-20-08-0440	3.83	\N	Electronics
544	Degree	60	BE Telecom Engineering	Iqra University	4	Years	2012-12-31	14-20-08-3623	3.68	\N	Communications
526	Degree	60	BE Electrical Engineering	NUCES	4	Years	2015-06-30	14-20-08-6681	3.14/4	\N	Electronics
502	Degree	60	BE Mechatronics	Paf-Karachi Institute of Economics and Technology	4	Years	2019-12-18	14-21-05-8099	3.89	\N	Mechatronics
491	Degree	60	BS EE	NUST-PNEC	4	Years	2016-06-02	14-20-12-7912	3.48	\N	Power
487	Degree	60	BE Mechanical Engineering	NUST	2	Years	2018-06-30	14-20-08-1035	3.178/4	\N	\N
473	Degree	60	BE Mechatronics	SZABIST	4	Years	2018-07-01	14-20-08-8409	3.22	\N	Mechatronics
516	Degree	60	BE Electrical	N.E.D University of Engineering and Technology	4	Years	2019-08-23	14-21-05-5448	3.512	\N	Electrical
461	Degree	60	BE Electrical	NEDUET	4	Years	2018-09-28	14-21-01-8590	3.79	\N	Electrical
554	Degree	50	DAE (Eletronics)	Govt.College Of Technology	3	Years	2006-06-06	14-21-05-5521	First Division	\N	Electonics
567	Degree	30	O Level	Beaconhouse School	3	Years	2007-08-01	14-20-08-2265	7As 1B	\N	Pre-Engineering
509	Degree	30	SSC Science group	GOVT. M.C. Model High School Burewala(Vehari)	2	Years	2012-05-31	14-21-05-1233	1st Division	\N	MATH, PHY, Chemistry, Biology
512	Degree	35	FSc (Pre-Engineering)	GOVT. Post Graduate College Burewala	2	Years	2014-08-20	14-21-05-1233	1st Division	\N	MATH, Physics, Chemistry
446	Degree	35	FSc	Cadet College Swat	2	Years	2013-08-05	14-21-01-3089	908/1100	\N	\N
586	Degree	35	Higher Secondary	DJ Sindh Govt. Science College	2	Years	2016-04-30	14-21-04-0903	65%	\N	Pre-Engineering
587	Degree	30	Secondary	Metropolitan School	10	Years	2014-04-30	14-21-04-0903	83%	\N	Computer Science
588	Course	0	WTR-II	PNSL	1989	06 Month	1989-05-08	17-19-09-6165	65%	\N	Typing & Pay Cash Duty
589	Course	0	L/WTR	PNSL	1994	14 Week	1994-06-11	17-19-09-6165	70%	\N	Typing & Pay cash Duty
590	Course	0	PO/WTR	PNSL	2003	22 Week	2003-06-11	17-19-09-6165	75%	\N	Auditing & Secretarate
591	Course	0	FCPO/WTR	PNSL	2007	22 Week	2007-06-11	17-19-09-6165	83%	\N	Incharge
592	Course	0	NBCD-III	NBCD Sch	2003	2 Week	2003-06-11	17-19-09-6165	80%	\N	\N
478	Course	0	Introduction to Programming with MATLAB	Vanderbilt University	2	Months	2020-06-29	14-20-08-8409	100%	N/A	N/A
593	Course	0	SST	HIMALAYA	1988	Months	1988-12-01	17-19-09-6165	Pass	\N	\N
594	Course	0	OOD DUTIES	RAHNUMA	2003	Months	2003-06-11	17-19-09-6165	Pass	\N	\N
596	Course	0	SEA SURVIVIAL	HIMALAYA	2003	Months	2003-06-11	17-19-09-6165	Pass	\N	\N
597	Course	0	IT (NST TECH)	RAHNUMA	2004	Months	2004-06-11	17-19-09-6165	Pass	\N	\N
598	Course	0	FRENCH LANGUAGE	NUML	2010	Months	2010-06-11	17-19-09-6165	Pass	\N	\N
599	Course	0	Basic Intelligence Course	ISI HQ HAMZA	2011	Months	2011-06-11	17-19-09-6165	Pass	\N	\N
600	Course	0	JLC	RAHNUMA	2015	Months	2015-06-11	17-19-09-6165	73%	\N	\N
613	Degree	50	DAE	Pakistan Navy ME School	3	Years	1989-08-24	14-20-12-4053	1st	\N	Mechanical
627	Course	0	'Computational Fluid Dynamics (CFD), Finite Element Analysis (FEA), Machine Design, Materail Science, Manufacturing Processes, Heat & Mass Transfer, Project Management	PNEC NUST	48	Months	2020-06-02	14-20-08-3007	3.93	Mechanical Engineering	Mechanical Engineering
628	Degree	50	DAE	Government College of Technology Abottabad	3	Years	2020-07-15	14-20-12-2581	B	\N	Mechanical
629	Course	0	AutoCAD	Government College of Technology Abottabad	3	Months	2020-07-15	14-20-12-2581	B	NA	AutoCAD designing
630	Degree	30	Middle	AWAZ PUR FAISLABAD	2	Years	1972-01-01	14-21-05-0503	A	\N	Middle
638	Degree	50	Higher Education Test	PN	2	Years	2008-06-16	18-21-06-0871	B	\N	Geography, General Science
